     time        	        Q [m^3/dt]        	     BOD5  [g/m^3]        	      COD  [g/m^3]        	       Cu  [g/m^3]        	     Ntot  [g/m^3]        
22.07.2000 05:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 06:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 07:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 08:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 09:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 10:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 11:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 12:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 13:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 14:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 15:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 16:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 17:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 18:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 19:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 20:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 21:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 22:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
22.07.2000 23:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 00:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 01:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 02:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 03:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 04:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 05:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 06:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 07:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 08:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 09:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 10:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 11:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 12:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 13:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 14:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 15:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 16:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 17:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 18:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 19:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 20:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 21:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 22:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
23.07.2000 23:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 00:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 01:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 02:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 03:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 04:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 05:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 06:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 07:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 08:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 09:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 10:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 11:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 12:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 13:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 14:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 15:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 16:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 17:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 18:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 19:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 20:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 21:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 22:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
24.07.2000 23:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 00:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 01:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 02:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 03:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 04:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 05:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 06:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 07:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 08:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 09:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 10:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 11:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 12:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 13:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 14:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 15:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 16:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 17:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 18:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 19:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 20:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 21:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 22:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
25.07.2000 23:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 00:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 01:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 02:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 03:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 04:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 05:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
26.07.2000 06:00:00        	 15.00000        	  0.00000        	  0.00000        	  0.00000        	  0.00000        
